id	ja	en	fr	note
1	機関	The Organization	l’Organisation	
2	タイムマシン	Time Machine	machine à voyager dans le temps	
3	真名	true name	nom véritable	
4	ラジ館	Radikan	Radio Kaikan	
5	電磁波	EM Wave	onde électromagnétique	
6	カプセルトイ	capsule toy	capsule-jouet	
7	雷ネット翔	RaiNet Kakeru	RaiNet Kakeru	
8	ジョン・タイター	John Titor	John Titor	
10	ブラウン管テレビ	CRT monitors	téléviseur à tube cathodique	
11	コスプレ	cosplay	cosplay	
12	スーパーハカー	super hacka	super hackeur	
13	常考	Durr	lojik	
14	某テニスマンガ	tennis manga	un certain manga de tennis	
15	＠ちゃんねる	@channel	@channel	
16	こっち見んな	don't look at me	me regarde pas	
17	２次元の女の子	2D girlfriends	filles en 2D	
18	嫁	waifus	waifu	
21	アルパカ	Alpacaman	Alpaga-man	
22	インタラクティブゲーム	interactive game	jeu interactif	
23	オフ会	offline meet	rencontre IRL	
27	ＵＰＸ	UPX	UPX	
28	ドクペ	Doc P	Doc P	
29	電子レンジ	microwave oven	four à micro-ondes	
30	セレンディピティ	Serendipity	sérendipité	
31	ビット粒子砲	Bit Particle Cannon	canon à particules Bit	
32	タケコプカメラー	Bamboo Helicam	Bambou-Hélicam	
33	もしかしてオラオラですかーッ！？	Could This Be Ora Ora!?	Serait-ce un Ora Ora ?!	
34	モアッド・スネーク	Moad Snake	Moad Snake	
35	またつまらぬ物を繋げてしまったｂｙ五右衛門	'Once Again I've Made A Worthless Object' by Goemon	« J’ai encore relié un objet sans intérêt » — par Goemon	
36	サイリウム・セーバー	Cyalume Saber	sabre Cyalume	
37	攻殻機動迷彩ボール	Ghost in the Ball	Ghost in the Ball	
38	フントの規則	Hund's Rule	règle de Hund	
39	ＡＴＦ	ATF	ATF	
40	大ビル	Daibiru	Daibiru	
41	ルイスちゃん	Louise-chan	Louise-chan	
42	キタコレ	for the win	ÇA ARRIVE	
43	東京電機大学	Tokyo Denki University	université Tokyo Denki	
44	アインシュタイン	Einstein	Einstein	
45	相対性理論	Theory of Relativity	théorie de la relativité	
46	素粒子	elementary particle	particule élémentaire	
47	超ひも理論	superstrings	théorie des supercordes	
48	１．２１ジゴワット	1.21 jigowatts	1,21 gigowatt	
49	ＬＡ	LA	Los Angeles	
50	ウラシマ効果	Urashima Effect	effet Urashima	
51	因果律	Principle of Causality	principe de causalité	
52	タイムパラドックス	time paradoxes	paradoxe temporel	
53	質量保存の法則	conservation of mass	loi de conservation de la masse	
54	トンデモ本	schlocky	livre farfelu	
55	自己無矛盾の原理	self-consistency principle	principe d’autocohérence	
56	万世橋	Manseibashi Bridge	pont Manseibashi	
57	神田明神	Kanda Myojin	sanctuaire Kanda Myojin	
58	ホコ天	amateur photographers	rue piétonne	EN_SWAPPED
59	カメラ小僧	Pedestrian Heaven	photographes amateurs	EN_SWAPPED
60	清心斬魔流	Seishin Zanma	école Seishin Zanma	
61	腐女子	fujoshi	fujoshi	
62	コミマ	ComiMa	ComiMa	
63	キラリちゃん	Kirari-chan	Kirari-chan	
64	こんなかわいい子が女の子のはずがない	someone this cute can't be a girl	Une fille aussi mignonne ne peut pas être une fille	
65	大幣	oonusa	ōnusa	
68	ＩＢＮ	IBN	IBN	
69	住人	anons	les anons	
70	クロイツフェルト・ヤコブ病	Creutzfeldt-Jakob Disease	maladie de Creutzfeldt-Jakob	
71	釣り	trolling	troll	
72	ＳＥＲＮ	SERN	SERN	
73	ｋｗｓｋ	moar	+ dtails	
74	ディストピア	dystopia	dystopie	
75	藻前	U	twa	
76	おまいら	gaiz	vzot	
77	ガチ	legit	sérieux	
78	ｗ	lol	mdr	
79	うｐ	post	up	
80	メイド喫茶	maid café	maid café	
81	祭り	festival	festival	
82	都市伝説	urban legend	légende urbaine	
83	９８	98	PC-98	
84	ＭＩ６	MI6	MI6	
85	メディア・スクラム	media scrum	curée médiatique	
86	編プロ	editorial company	société éditoriale	
87	コンボ攻撃	chain combo	attaque en combo	
88	オタ	otaku	otaku	
89	固有結界	Reality Marble	Marbre de Réalité	
90	マンドクセ	pain in the ass	trokiant	
91	ソース	sauce	source	
92	高杉	stupid expensive	tro cher	
93	Ｗｉｋｉ	Wiki	Wiki	
94	フレパラ	FrePara	FrePara	
95	サーセン	Sorry, not sorry	dzl	
96	ＣＲＴ	CRT	CRT	
97	降臨	lolcow	apparition	
98	双子のパラドックス	twin paradox	paradoxe des jumeaux	
99	ティプラー	Tipler	Tipler	
100	シボルエ	Chevy	Chevrolé	
101	チラ裏	blog	ton blog	
102	ペンローズダイアグラム	Penrose diagram	diagramme de Penrose	
103	日本語でおｋ	In Japanese plz	en français stp	
104	ｇｄｇｄ	.jpg	cépabo	
105	特異点	singularity	singularité	
106	ＵＺＥＥＥＥＥ	STFUUUUU	TA GUEULEEEE	
107	セシウム時計	cesium clocks	horloge à césium	
108	コテハン	Namefriend	pseudo fixe	
109	Ｘ６８０００	X68000	X68000	
110	オッドアイ	odd eyes	yeux vairons	
111	相転移	phase transition	transition de phase	
112	フラクタル構造	fractal structure	structure fractale	
113	メンガーのスポンジ	Menger sponge	éponge de Menger	
114	エジソン	Edison	Edison	
115	テレポート	teleportation	téléportation	
116	説明セリフ	 exposition	réplique explicative	
117	ゾンビ	zombie	zombie	
118	マーシャルアーツ	martial arts	arts martiaux	
119	ノルアドレナリン	noradrenaline	noradrénaline	
120	量子テレポート	Quantum teleportation	téléportation quantique	
121	中の人	LARPing	la personne derrière	
122	ＤＯＳ	DOS	DOS	
124	サンポ	Sanpo	Sanpo	
125	オヌヌメ	Would	recomand	
126	ＨＴＭＬ	HTML	HTML	
127	ＨＴＴＰ	HTTP	HTTP	
128	Ｗｏｒｌｄ Ｗｉｄｅ Ｗｅｂ	World Wide Web	World Wide Web	
129	ＵＲＬ	URL	URL	
130	サバゲー	airsoft	airsoft	
131	ＡＰＬ	APL	APL	
132	ＢＡＳＩＣ	BASIC	BASIC	
133	ｐｌｚ	plz	stp	
134	ＡＡ	ascii art	art ASCII	
135	マジレス	srsly	réponse sérieuse	
136	パラレルワールド	parallel worlds	mondes parallèles	
137	渋谷の地震	Shibuya earthquake	séisme de Shibuya	
138	学生運動	student protests	mouvement étudiant	
139	ネトウヨ	online right winger	nationaliste du Net	
140	２０００年問題	Y2K bug	bug de l’an 2000	
141	おでん缶	Canned oden	oden en conserve	
142	ＳＱＬ	SQL	SQL	
143	エキサイト先生	Dr. Excite	professeur Excite	
144	シンクロニシティ	synchronicity	synchronicité	
145	クラッキング	cracking	cracking	
146	スタンドアローン	standalone	autonome	
148	最終聖戦	Ragnarok	Ragnarök	
149	陰謀論	conspiracy theory	théorie du complot	
150	ウェルズの『タイム・マシン』	The Time Machine by H.G. Wells	La Machine à explorer le temps de H. G. Wells	
151	末梢神経	peripheral nerve	nerf périphérique	
152	ターミナルモード	terminal mode	mode terminal	
153	ガルガリ君	crunchy-kun	Gargari-kun	
154	モーテル	motels	motel	
155	ダブルミーニング	double meaning	double sens	
156	ｊｐｇ	jpg	jpg	
157	３００人委員会	Committee of 300	Comité des 300	
158	ググる	google it	googler	
159	衝突型加速器	Collider	collisionneur	
160	業火封殺の箱	Laegjarn's Chest	coffre de Laegjarn	
161	ミュウツベ	MewTube	MiouTube	
162	問題の動画	problem video	la vidéo en question	
163	擬人化	Make it moe	moéfication	
164	変身バンク	stock transformation scene	séquence de transformation	
165	事象の地平線	event horizon	horizon des événements	
166	特異点が裸の状態	naked singularity	singularité nue	
168	ＮＡＳＡ	NASA	NASA	
169	『過去を司る女神』	Operation Urd	Opération Urd	
170	ＦＡ	Final Answer	réponse finale	
171	ペニシリン	Penicillin	pénicilline	
172	Ｘ線	X-rays	rayons X	
173	ダイナマイト	dynamite	dynamite	
175	ツンデレ	tsundere	tsundere	
176	カオス理論	Chaos Theory	théorie du chaos	
177	ロボトミー手術	lobotomy	lobotomie	
178	ロト６	LOTO SIX	Loto 6	
179	前頭葉	frontal lobe	lobe frontal	
181	洗脳	brainwashed	lavage de cerveau	
182	海馬	hippocampus	hippocampe	
183	ラーメン缶	canned ramen	ramen en conserve	
184	安西先生	Anzai-sensei	maître Anzai	
185	スイーツ（笑）	deco phones	meufs mainstream (lol)	EN_SWAPPED
186	デコ電	mainstream women	téléphone décoré	EN_SWAPPED
187	ミストルティン	Mistilteinn	Mistilteinn	
188	百合	yuri	yuri	
189	ローアングラー	low angler	low angler	
190	ジャパニメーション	Japanimation	japanimation	
191	アカシックレコード	Akashic Records	annales akashiques	
192	民明書房	Minmei Shobou	éditions Minmei	
193	タイムカプセル	time capsule	capsule temporelle	
194	ポケベル	pager	bipeur	
195	ウィザード級	Wizard-tier	niveau magicien	
196	４次元	4D	4ᵉ dimension	
197	ジャネの法則	Janet's Law	loi de Janet	
198	フラグ	flag	flag	
199	ホワイトホール	white hole	trou blanc	
200	エクサ	exabyte	exaoctet	
201	絵師	artist	dessinateur	
202	ガンバム	Gunbam	Gunbam	
203	ブラチュー	Blood Tune	Blood Tune	
204	レイヤー	layer	cosplayeuse	
205	興信所	PI	détective privé	
206	エルドフリームニル	Eldhrímnir	Eldhrímnir	
207	スパムメール	Spam	spam	
208	ＢＢＳ	forum	forum	
209	禿同	For real	+1	
210	死亡フラグ	death flag	flag de mort	
211	ｒｏｏｔ権	root access	accès root	
212	フランスの国民議会	French National Assembly	Assemblée nationale française	
213	ｍｓ	ms	ms	
214	マグネトロン	magnetron	magnétron	
215	脳科学	brain science	neurosciences	
216	Ｍｉｎｄｏｒｚ	Mindorz	Mindorz	
217	おにゃのこ	hawt	chaude	
218	『現在を司る女神』作戦	Operation Verthandi	Opération Verthandi	
219	神経パルス	Temporal Lobe	influx nerveux	EN_SWAPPED
220	側頭葉	Nerve Impulses	lobe temporal	EN_SWAPPED
221	海馬傍回	parahippocampal gyrus	gyrus parahippocampique	
222	ニューロン	neurons	neurones	
223	精神生理学研究所	Psychophysiology Research Institute	Institut de recherche en psychophysiologie	
224	ＯＳ	OS	OS	
225	ＶＩＰ	anchors	VIP	EN_SWAPPED
226	安価	VIP	ancre	EN_SWAPPED
227	ぬるぽ	Nullpo	Nullpo	
228	ワロス	rofl	ptdr	
229	電界	electric field	champ électrique	
230	ＣＡ３	CA3	CA3	
231	デコード	decoding	décodage	
232	カット＆ペースト	cut and paste	couper-coller	
233	コピー＆ペースト	copy and paste	copier-coller	
234	コペンハーゲン解釈	Copenhagen interpretation	interprétation de Copenhague	
235	波動関数	wave functions	fonction d’onde	
236	トップダウン記憶検索信号	top-down memory retrieval signal	signal de récupération mnésique descendant	
237	ハイデガー	Heidegger	Heidegger	
238	菖蒲院	Ayamein	Ayamein	
239	ＡＫ−４７	AK-47	AK-47	
240	デジャヴ	Déjà vu	déjà-vu	
241	ブクロ	Bukuro	Bukuro	
242	鬼子母神	Hariti Shrine	sanctuaire Kishimojin	
243	スタベ	Starbecks	Starbecks	
244	ＤＱＮ	delinquent	racaille	
245	タイーホ	slammer	arété	
246	時間順序保護仮説	chronology protection conjecture	conjecture de protection de la chronologie	
247	レジスタンス	Resistance	la Résistance	
248	決定論	determinism	déterminisme	
249	エシュロン	Echelon	Échelon	
252	ニコ厨	Nicojunkie	accro à Nico	
253	魔法使い	wizard	magicien	
254	プラシーボ効果	placebo effect	effet placebo	
255	キボン	pl0x	svp	
257	ビッグサイト	Big Sight	Big Sight	
258	メビウスの輪	Möbius strip	ruban de Möbius	
259	オーパーツ	OOPArt	OOPArt	
260	誰得	Get real	ça sert à qui ?	
261	プギャー	smug face	hahaha	
262	スタンド	Stand	Stand	
263	チェシャ猫の微笑	Cheshire	sourire du chat du Cheshire	
264	粉塵爆発	dust explosion	explosion de poussières	
265	リア充	normie	normie	
266	だれうま	Oh, you	bien vu celle-là	
267	薔薇十字軍	Alchemy	Rose-Croix	EN_SWAPPED
268	錬金術	Rosicrucian	alchimie	EN_SWAPPED
269	今北産業	TL;DR	résumé en 3 lignes	
270	アイザック・ニュートン	Isaac Newton	Isaac Newton	
271	みこみこオーバードライブ	Miko Miko Overdrive	Miko Miko Overdrive	
272	セックル	smex	seks	
273	武器屋本舗	BladeWorks	BladeWorks	
274	メシマズ	seething	bouffe dégueu	
275	アセチルコリン	acetylcholine	acétylcholine	
277	バールのようなもの	Gordon Freeman	un truc genre pied-de-biche	
279	ラノベ	LN	light novel	
280	ユーロポール	Europol	Europol	
281	スタングレネード	stun grenade	grenade assourdissante	
282	ウィッグ	wig	perruque	
283	ケバブ	kebab	kebab	
284	オートミール	oatmeal	flocons d’avoine	
285	ソーイングセット	sewing kit	kit de couture	
286	くんかくんか	sniffa sniffa	sniff sniff	
287	ＡＣＴＨ	ACTH	ACTH	
288	精緻化リハーサル	elaborative rehearsal	répétition élaborative	
289	チート	cheat code	triche	
290	『未来を司る女神』作戦	Operation Skuld	Opération Skuld	
